date,side,level,touch_ts,touch_close,fwd_ret_15m,outcome_15m,fwd_ret_60m,outcome_60m,fwd_ret_240m,outcome_240m,outcome_1440m,fwd_ret_1440m,kind,k,pair
2020-10-21,call,0.9049773755656109,2020-10-21 06:57:00,0.90482,-0.00028734997015977815,reject,-0.0010388806613469415,reject,-0.0014699056165866642,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 07:18:00,0.90481,0.0002541970137377447,break,-0.0012709850686883906,reject,-0.0012488809805373258,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 07:50:00,0.90479,-0.0012489085865228233,reject,-0.0009394445119862427,reject,-0.0005857712839443252,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 09:22:00,0.90481,-3.31561322266527e-05,reject,-0.0005194460715508553,reject,-1.1052044075476886e-05,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 10:00:00,0.90468,-0.00044214528894204186,reject,-0.0012380068090374063,reject,0.00011053632223556598,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 13:17:00,0.9049,-0.000276273621394707,reject,-0.0011935020444249211,reject,-0.0004641396839430989,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 14:01:00,0.90478,-0.0008399832003359586,reject,-0.0015473374743032453,reject,-0.00041999160016803483,reject,,,wall,0.0,USD_CHF
2020-10-21,call,0.9049773755656109,2020-10-21 18:47:00,0.90478,-0.00015473374743035784,reject,0.0005526205265367068,break,,,,,wall,0.0,USD_CHF
2020-10-23,call,0.9049773755656109,2020-10-23 10:33:00,0.9048,-6.631299734749518e-05,reject,-0.0004641909814324663,reject,0.0021772767462422404,break,,,wall,0.0,USD_CHF
2020-10-23,call,0.9049773755656109,2020-10-23 11:55:00,0.90482,-0.001127296036780745,reject,-0.0009836210517008004,reject,0.0011162441148515612,break,,,wall,0.0,USD_CHF
2020-10-23,call,0.9049773755656109,2020-10-23 13:35:00,0.90484,8.841342115739614e-05,reject,0.0020556120419079615,break,-0.0002873436187612599,reject,,,wall,0.0,USD_CHF
2020-10-26,call,0.9049773755656109,2020-10-26 01:30:00,0.90474,0.00036474567278999004,break,-5.526449587722748e-05,reject,0.0005968565554745897,break,,,wall,0.0,USD_CHF
2020-11-05,call,0.9049773755656109,2020-11-05 20:08:00,0.90474,4.42115967018708e-05,reject,-7.737029422816288e-05,reject,,,,,wall,0.0,USD_CHF
2020-11-05,call,0.9049773755656109,2020-11-05 21:16:00,0.9048,-0.0005747126436782546,reject,-0.0004641909814324663,reject,,,,,wall,0.0,USD_CHF
2020-11-05,call,0.9049773755656109,2020-11-05 22:58:00,0.90484,-0.000331550329339958,reject,,,,,,,wall,0.0,USD_CHF
2020-11-05,call,0.9049773755656109,2020-11-05 23:42:00,0.90484,-0.00035365368462936253,reject,,,,,,,wall,0.0,USD_CHF
